Publisher;Publisher_Std
Elektra Könyvkiadó KFT;elektra konyvkiado kft
Szobek Bt.;szobek bt
FilmHungary;filmhungary
Könyvműhely;konyvmuhely
Antall József Tudásközpont;antall jozsef tudaskozpont
Könyv Népe Kiadó Kft.;konyv nepe kiado kft
ALPHAPRESS KFT.;alphapress kft
Medio Kiadó;medio kiado
KORTARSPROS KFT.;kortarspros kft
TAKTIK Vydavateľstvo;taktik vydavatelstvo
Pro Philosophia Kiadó;pro philosophia kiado
K.E.R.T.;kert
Jezsuita Kiadó - FFJA;jezsuita kiado  ffja
Good Life Books;good life books
Távlat kiadó;tavlat kiado
Q-APPS Informatikai Kft.;qapps informatikai kft
Ecclesia Kiadó;ecclesia kiado
Savaria Univers Press Alap.;savaria univers press alap
2=1 Házas Misszió;21 hazas misszio
Aeternitas Irodalmi Műhely;aeternitas irodalmi muhely
Almandin Kiadó;almandin kiado
TERC Kft.;terc kft
Fok-ta Bt.;fokta bt
Pallas Páholy Kulturális és Kiadói Kft.;pallas paholy kulturalis es kiadoi kft
Novum Kiadó;novum kiado
Lunarimpex Kiadó;lunarimpex kiado
Knaur Taschenbuch Verlag;knaur taschenbuch verlag
Gigapolisz Kiadó;gigapolisz kiado
SZENT MAURÍCIUSZ MONOSTOR;szent mauriciusz monostor
ART NETWORKS KFT.;art networks kft
Pilis-Print Kiadó;pilisprint kiado
Deák És Társa Kiadó;deak es tarsa kiado
Schweizer Druck Und Verlagshau;schweizer druck und verlagshau
Penguin Books;penguin books
Macmillan;macmillan
SCHOLASTIC UK;scholastic uk
Booklassic;booklassic
Punto De lectura;punto de lectura
Harlequin;harlequin
Random House;random house
Albin Michel;albin michel
Cambridge University Press;cambridge university press
ARENA VERLAG;arena verlag
William Collins;william collins
Prentice Hall;prentice hall
LITTLE BROWN AND COMPANY;little brown and company
Viking;viking
Thomas Nelson Publishing;thomas nelson publishing
Scholastica;scholastica
Berlin;berlin
Leipzig;leipzig
Delphi Classics (Parts Edition);delphi classics parts edition
Wordsworth Editions;wordsworth editions
Penguin Books LTD;penguin books ltd
Alfadat-Press;alfadatpress
London;london
Szépirodalmi Könyvkiadó;szepirodalmi konyvkiado
Magyar Királyi Orsz. Levéltár;magyar kiralyi orsz leveltar
Pécs;pecs
Sopron;sopron
Mozaik Kiadó;mozaik kiado
Kriterion Kiadó;kriterion kiado
Budapest;budapest
Budapest Székesfőv. Stat. Hiv.;budapest szekesfov stat hiv
Pongor Publishing;pongor publishing
Miskolci Galéria;miskolci galeria
Tankönyvkiadó;tankonyvkiado
Harper Collins;harper collins
Militärverlag;militarverlag
Kókai Lajos;kokai lajos
Express Publishing;express publishing
Műszaki Könyvkiadó;muszaki konyvkiado
Calibra Kiadó;calibra kiado
Larousse;larousse
Révai Testvérek;revai testverek
Singer és Wolfner;singer es wolfner
KOLIBRI GYEREKKÖNYVKIADÓ KFT;kolibri gyerekkonyvkiado kft
Esztergom;esztergom
Vas Megye Tanácsa;vas megye tanacsa
MTESZ és PTSZ;mtesz es ptsz
Finomkerámiaipari Művek;finomkeramiaipari muvek
Intermix Kiadó;intermix kiado
Press+Print Kft.;pressprint kft
STB Könyvek Könyvkiadó Kft.;stb konyvek konyvkiado kft
Utolsó napok szentjeinek...;utolso napok szentjeinek
Szolnok;szolnok
Budapest Székesfőváros;budapest szekesfovaros
Szeged;szeged
Eggenberger-Féle Könyvkeresk.;eggenbergerfele konyvkeresk
Franklin-Társulat;franklintarsulat
ELTE BTK;elte btk
Prugg Verlag;prugg verlag
nincs megadva;nincs megadva
Pest megye Monográfia Alapítv.;pest megye monografia alapitv
Országos Béketanács;orszagos beketanacs
Debrecen;debrecen
Hódmezővásárhely;hodmezovasarhely
Szerzői Kiadás;szerzoi kiadas
Mitchell Beazley;mitchell beazley
Hajdúböszörmény;hajduboszormeny
Nova Irodalmi Intézet;nova irodalmi intezet
Blackwell publishers;blackwell publishers
Béta Kiadó;beta kiado
Ladybird Books Ltd;ladybird books ltd
Egészségügyi Kiadó;egeszsegugyi kiado
Magyar Karszt-Barlangkut.Társ.;magyar karsztbarlangkuttars
Max Hueber Verlag;max hueber verlag
Honvédelmi Minisztérium;honvedelmi miniszterium
MÁV RT.;mav rt
Közlekedési Dokumentációs Váll;kozlekedesi dokumentacios vall
Moszkva;moszkva
Emich Gusztáv;emich gusztav
